,Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
0,40,Travel_Rarely,Research & Development,2,3,Medical,Male,Research Director,Single,47750,3.0,15,8,1,15.0,3,5,1,0,1
1,31,Travel_Rarely,Research & Development,28,4,Technical Degree,Female,Sales Executive,Married,127420,1.0,11,8,0,10.0,4,10,0,2,0
2,35,Travel_Frequently,Research & Development,3,3,Medical,Female,Laboratory Technician,Married,22580,1.0,11,8,1,2.0,2,2,2,2,0
3,33,Travel_Rarely,Research & Development,2,2,Medical,Male,Sales Executive,Single,24400,0.0,18,8,3,4.0,4,3,0,2,0
4,32,Travel_Rarely,Research & Development,2,3,Medical,Male,Research Scientist,Married,57470,1.0,13,8,0,8.0,0,8,0,7,0
5,33,Travel_Rarely,Research & Development,10,3,Life Sciences,Male,Sales Executive,Single,43020,2.0,13,8,0,11.0,3,0,0,0,1
6,46,Travel_Rarely,Research & Development,1,4,Life Sciences,Male,Manufacturing Director,Married,23400,2.0,13,8,1,26.0,2,11,0,8,0
7,42,Travel_Frequently,Research & Development,18,4,Technical Degree,Male,Sales Executive,Married,132060,0.0,13,8,2,7.0,2,6,0,4,0
8,35,Non-Travel,Research & Development,29,3,Medical,Female,Sales Executive,Married,78230,1.0,13,8,1,15.0,3,14,2,9,0
9,19,Travel_Rarely,Research & Development,23,4,Life Sciences,Male,Laboratory Technician,Single,191970,1.0,12,8,0,1.0,2,1,0,0,0
10,28,Travel_Rarely,Research & Development,10,1,Medical,Male,Sales Executive,Single,25610,1.0,22,8,1,2.0,3,2,2,2,1
11,47,Travel_Frequently,Research & Development,4,3,Life Sciences,Male,Research Director,Single,27740,4.0,13,8,1,8.0,2,5,1,3,1
12,47,Travel_Rarely,Research & Development,23,4,Life Sciences,Female,Sales Executive,Married,62740,7.0,14,8,2,17.0,0,6,1,2,0
13,43,Travel_Rarely,Research & Development,2,2,Medical,Male,Laboratory Technician,Single,78610,1.0,14,8,2,20.0,1,20,1,8,0
14,27,Travel_Frequently,Research & Development,13,2,Life Sciences,Female,Research Scientist,Married,195370,0.0,12,8,0,5.0,5,4,1,1,0
15,45,Travel_Rarely,Research & Development,28,3,Life Sciences,Female,Laboratory Technician,Divorced,50670,1.0,11,8,2,10.0,3,10,3,9,0
16,31,Travel_Frequently,Research & Development,2,1,Other,Male,Sales Executive,Married,70940,1.0,14,8,1,10.0,2,10,0,8,1
17,32,Travel_Rarely,Research & Development,3,4,Medical,Female,Sales Executive,Divorced,30380,2.0,20,8,0,8.0,3,5,0,3,0
18,40,Travel_Rarely,Sales,10,1,Life Sciences,Female,Manufacturing Director,Married,65240,0.0,13,8,1,9.0,2,8,7,1,0
19,50,Travel_Rarely,Research & Development,8,4,Life Sciences,Male,Sales Executive,Married,49410,5.0,11,8,1,30.0,3,4,0,3,0
20,29,Travel_Rarely,Research & Development,5,4,Life Sciences,Female,Healthcare Representative,Divorced,66730,6.0,12,8,1,8.0,2,4,0,3,0
21,60,Travel_Rarely,Research & Development,10,3,Life Sciences,Female,Manufacturing Director,Married,22690,5.0,18,8,1,33.0,4,29,11,10,0
22,36,Non-Travel,Research & Development,5,4,Life Sciences,Male,Sales Executive,Married,85780,7.0,21,8,0,,4,9,0,8,0
23,41,Travel_Rarely,Research & Development,29,1,Life Sciences,Male,Laboratory Technician,Single,23790,1.0,12,8,0,22.0,6,22,0,4,0
24,23,Travel_Rarely,Sales,13,3,Marketing,Male,Sales Executive,Married,42210,1.0,11,8,1,5.0,4,4,0,2,0
